review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
10,acNIG0130410231834,acNIG0130410231834.dat.correct.padremoved.v,2004-10-23 18:34:00,Niigata Basin,training,True,168.95000000000002,38.77300049,38.77,168.95000000000002,5,43.77,-1.2383226678915005,2.3871831805641133,2.342023513746126
10,acNIG0130410231834,acNIG0130410231834.dat.correct.padremoved.v,2004-10-23 18:34:00,Niigata Basin,training,True,168.95000000000002,38.77300049,38.77,168.95000000000002,10,48.77,-10.450635701140143,14.80326315234633,8.68671296104102
11,acNIG0130410271040,acNIG0130410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,holdout_evaluation,True,163.91,36.67300049,36.67,163.91,-10,26.67,3.875792420920998,5.705456717961254,5.1491266281396335
11,acNIG0130410271040,acNIG0130410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,holdout_evaluation,True,163.91,36.67300049,36.67,163.91,-5,31.67,0.8187636498399042,1.755575175360396,3.2549573373348393
11,acNIG0130410271040,acNIG0130410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,holdout_evaluation,True,163.91,36.67300049,36.67,163.91,0,36.67,0.0,0.0,0.0
11,acNIG0130410271040,acNIG0130410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,holdout_evaluation,True,163.91,36.67300049,36.67,163.91,5,41.67,-8.647737754581886,8.963760337297913,13.41512609184907
11,acNIG0130410271040,acNIG0130410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,holdout_evaluation,True,163.91,36.67300049,36.67,163.91,10,46.67,-11.839758043266569,11.027583426363625,13.404693251827391
12,acNIG0140410271040,acNIG0140410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,training,True,176.95000000000002,42.39200195,42.39,176.95000000000002,-10,32.39,2.6910102817675474,5.388860969756354,4.755432036002961
12,acNIG0140410271040,acNIG0140410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,training,True,176.95000000000002,42.39200195,42.39,176.95000000000002,-5,37.39,1.989601285255671,4.650587245644799,3.5539463390685486
12,acNIG0140410271040,acNIG0140410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,training,True,176.95000000000002,42.39200195,42.39,176.95000000000002,0,42.39,0.0,0.0,0.0
12,acNIG0140410271040,acNIG0140410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,training,True,176.95000000000002,42.39200195,42.39,176.95000000000002,5,47.39,-12.383950014984102,10.208415591700684,8.857923952429053
